model,fpr,tpr
Oracle,0.36074270557029176,0.9244186046511628
Oracle,0.3660477453580902,0.9244186046511628
Oracle,0.3660477453580902,0.9302325581395349
Oracle,0.3687002652519894,0.9302325581395349
Oracle,0.3687002652519894,0.936046511627907
Oracle,0.4005305039787798,0.936046511627907
Oracle,0.4005305039787798,0.9418604651162791
Oracle,0.40583554376657827,0.9418604651162791
Oracle,0.40583554376657827,0.9476744186046512
Oracle,0.41644562334217505,0.9476744186046512
Oracle,0.41644562334217505,0.9534883720930233
Oracle,0.4350132625994695,0.9534883720930233
Oracle,0.4350132625994695,0.9593023255813954
Oracle,0.4960212201591512,0.9593023255813954
Oracle,0.4960212201591512,0.9651162790697675
Oracle,0.5145888594164456,0.9651162790697675
Oracle,0.5145888594164456,0.9709302325581395
Oracle,0.5305039787798409,0.9709302325581395
Oracle,0.5305039787798409,0.9767441860465116
Oracle,0.5755968169761273,0.9767441860465116
Oracle,0.5755968169761273,0.9825581395348837
Oracle,0.5862068965517241,0.9825581395348837
Oracle,0.5862068965517241,0.9883720930232558
Oracle,0.5888594164456233,0.9883720930232558
Oracle,0.5888594164456233,0.9941860465116279
Oracle,0.6047745358090185,0.9941860465116279
Oracle,0.6047745358090185,1.0
Oracle,1.0,1.0
